,0,1,2,3,4,5,6,7
52,<KNN.KNN object at 0x108780f90>,0.923453338,<KNN.KNN object at 0x108780f90>,0.94559012,KNN,15,distance,auto
53,<KNN.KNN object at 0x109021050>,0.923453338,<KNN.KNN object at 0x109021050>,0.94559012,KNN,15,distance,ball_tree
54,<KNN.KNN object at 0x1090210d0>,0.923453338,<KNN.KNN object at 0x1090210d0>,0.94559012,KNN,15,distance,kd_tree
55,<KNN.KNN object at 0x109021150>,0.923453338,<KNN.KNN object at 0x109021150>,0.94559012,KNN,15,distance,brute
60,<KNN.KNN object at 0x1090213d0>,0.923453338,<KNN.KNN object at 0x1090213d0>,0.94559012,KNN,20,distance,auto
61,<KNN.KNN object at 0x109021450>,0.923453338,<KNN.KNN object at 0x109021450>,0.94559012,KNN,20,distance,ball_tree
62,<KNN.KNN object at 0x1090214d0>,0.923453338,<KNN.KNN object at 0x1090214d0>,0.94559012,KNN,20,distance,kd_tree
63,<KNN.KNN object at 0x109021550>,0.923453338,<KNN.KNN object at 0x109021550>,0.94559012,KNN,20,distance,brute
44,<KNN.KNN object at 0x108780b90>,0.92310381,<KNN.KNN object at 0x108780b90>,0.94559012,KNN,10,distance,auto
45,<KNN.KNN object at 0x108780c10>,0.92310381,<KNN.KNN object at 0x108780c10>,0.94559012,KNN,10,distance,ball_tree
46,<KNN.KNN object at 0x108780c90>,0.92310381,<KNN.KNN object at 0x108780c90>,0.94559012,KNN,10,distance,kd_tree
47,<KNN.KNN object at 0x108780d10>,0.92310381,<KNN.KNN object at 0x108780d10>,0.94559012,KNN,10,distance,brute
20,<Dtree.Dtree object at 0x108780150>,0.907375044,<Dtree.Dtree object at 0x108780150>,0.94559012,Dtree,entropy,best,25
4,<Dtree.Dtree object at 0x10875e910>,0.905976931,<Dtree.Dtree object at 0x10875e910>,0.94559012,Dtree,gini,best,25
5,<Dtree.Dtree object at 0x10875e990>,0.905976931,<Dtree.Dtree object at 0x10875e990>,0.94559012,Dtree,gini,best,30
6,<Dtree.Dtree object at 0x10875ea10>,0.905976931,<Dtree.Dtree object at 0x10875ea10>,0.94559012,Dtree,gini,best,35
7,<Dtree.Dtree object at 0x10875ea90>,0.905976931,<Dtree.Dtree object at 0x10875ea90>,0.94559012,Dtree,gini,best,40
12,<Dtree.Dtree object at 0x10875ed10>,0.905976931,<Dtree.Dtree object at 0x10875ed10>,0.94559012,Dtree,gini,random,25
13,<Dtree.Dtree object at 0x10875ed90>,0.905976931,<Dtree.Dtree object at 0x10875ed90>,0.94559012,Dtree,gini,random,30
14,<Dtree.Dtree object at 0x10875ee10>,0.905976931,<Dtree.Dtree object at 0x10875ee10>,0.94559012,Dtree,gini,random,35
15,<Dtree.Dtree object at 0x10875ee90>,0.905976931,<Dtree.Dtree object at 0x10875ee90>,0.94559012,Dtree,gini,random,40
21,<Dtree.Dtree object at 0x1087801d0>,0.905976931,<Dtree.Dtree object at 0x1087801d0>,0.94559012,Dtree,entropy,best,30
22,<Dtree.Dtree object at 0x108780250>,0.905976931,<Dtree.Dtree object at 0x108780250>,0.94559012,Dtree,entropy,best,35
23,<Dtree.Dtree object at 0x1087802d0>,0.905976931,<Dtree.Dtree object at 0x1087802d0>,0.94559012,Dtree,entropy,best,40
28,<Dtree.Dtree object at 0x108780550>,0.905277875,<Dtree.Dtree object at 0x108780550>,0.94559012,Dtree,entropy,random,25
29,<Dtree.Dtree object at 0x1087805d0>,0.904578819,<Dtree.Dtree object at 0x1087805d0>,0.94559012,Dtree,entropy,random,30
30,<Dtree.Dtree object at 0x108780650>,0.904578819,<Dtree.Dtree object at 0x108780650>,0.94559012,Dtree,entropy,random,35
31,<Dtree.Dtree object at 0x1087806d0>,0.904578819,<Dtree.Dtree object at 0x1087806d0>,0.94559012,Dtree,entropy,random,40
39,<KNN.KNN object at 0x10875e350>,0.922754282,<KNN.KNN object at 0x10875e350>,0.945473611,KNN,5,distance,brute
37,<KNN.KNN object at 0x10875e550>,0.920307585,<KNN.KNN object at 0x10875e550>,0.945473611,KNN,5,distance,ball_tree
36,<KNN.KNN object at 0x10875e5d0>,0.919608528,<KNN.KNN object at 0x10875e5d0>,0.945473611,KNN,5,distance,auto
38,<KNN.KNN object at 0x10875e3d0>,0.919608528,<KNN.KNN object at 0x10875e3d0>,0.945473611,KNN,5,distance,kd_tree
3,<Dtree.Dtree object at 0x10875e890>,0.905976931,<Dtree.Dtree object at 0x10875e890>,0.945240592,Dtree,gini,best,20
11,<Dtree.Dtree object at 0x10875ec90>,0.905277875,<Dtree.Dtree object at 0x10875ec90>,0.945240592,Dtree,gini,random,20
19,<Dtree.Dtree object at 0x1087800d0>,0.9080741,<Dtree.Dtree object at 0x1087800d0>,0.945124082,Dtree,entropy,best,20
27,<Dtree.Dtree object at 0x1087804d0>,0.904578819,<Dtree.Dtree object at 0x1087804d0>,0.945124082,Dtree,entropy,random,20
2,<Dtree.Dtree object at 0x10875e810>,0.911918909,<Dtree.Dtree object at 0x10875e810>,0.941628801,Dtree,gini,best,15
10,<Dtree.Dtree object at 0x10875ec10>,0.908773156,<Dtree.Dtree object at 0x10875ec10>,0.941628801,Dtree,gini,random,15
18,<Dtree.Dtree object at 0x108780050>,0.909472213,<Dtree.Dtree object at 0x108780050>,0.940929745,Dtree,entropy,best,15
26,<Dtree.Dtree object at 0x108780450>,0.910870325,<Dtree.Dtree object at 0x108780450>,0.940696726,Dtree,entropy,random,15
9,<Dtree.Dtree object at 0x10875eb90>,0.922754282,<Dtree.Dtree object at 0x10875eb90>,0.928929279,Dtree,gini,random,10
1,<Dtree.Dtree object at 0x1006bd810>,0.922404754,<Dtree.Dtree object at 0x1006bd810>,0.928812769,Dtree,gini,best,10
25,<Dtree.Dtree object at 0x1087803d0>,0.920307585,<Dtree.Dtree object at 0x1087803d0>,0.927880694,Dtree,entropy,random,10
17,<Dtree.Dtree object at 0x10875ef90>,0.920657113,<Dtree.Dtree object at 0x10875ef90>,0.927764185,Dtree,entropy,best,10
35,<KNN.KNN object at 0x1087808d0>,0.928346732,<KNN.KNN object at 0x1087808d0>,0.922521263,KNN,5,uniform,brute
33,<KNN.KNN object at 0x1087807d0>,0.924851451,<KNN.KNN object at 0x1087807d0>,0.921938716,KNN,5,uniform,ball_tree
32,<KNN.KNN object at 0x108780750>,0.924501922,<KNN.KNN object at 0x108780750>,0.921472679,KNN,5,uniform,auto
34,<KNN.KNN object at 0x108780850>,0.924501922,<KNN.KNN object at 0x108780850>,0.921472679,KNN,5,uniform,kd_tree
0,<Dtree.Dtree object at 0x10875e710>,0.92869626,<Dtree.Dtree object at 0x10875e710>,0.920890132,Dtree,gini,best,5
8,<Dtree.Dtree object at 0x10875eb10>,0.92869626,<Dtree.Dtree object at 0x10875eb10>,0.920890132,Dtree,gini,random,5
16,<Dtree.Dtree object at 0x10875ef10>,0.92869626,<Dtree.Dtree object at 0x10875ef10>,0.920773622,Dtree,entropy,best,5
24,<Dtree.Dtree object at 0x108780350>,0.92869626,<Dtree.Dtree object at 0x108780350>,0.920773622,Dtree,entropy,random,5
40,<KNN.KNN object at 0x108780990>,0.929395316,<KNN.KNN object at 0x108780990>,0.920424094,KNN,10,uniform,auto
41,<KNN.KNN object at 0x108780a10>,0.929395316,<KNN.KNN object at 0x108780a10>,0.920424094,KNN,10,uniform,ball_tree
42,<KNN.KNN object at 0x108780a90>,0.929395316,<KNN.KNN object at 0x108780a90>,0.920424094,KNN,10,uniform,kd_tree
48,<KNN.KNN object at 0x108780d90>,0.929395316,<KNN.KNN object at 0x108780d90>,0.920424094,KNN,15,uniform,auto
49,<KNN.KNN object at 0x108780e10>,0.929395316,<KNN.KNN object at 0x108780e10>,0.920424094,KNN,15,uniform,ball_tree
50,<KNN.KNN object at 0x108780e90>,0.929395316,<KNN.KNN object at 0x108780e90>,0.920424094,KNN,15,uniform,kd_tree
51,<KNN.KNN object at 0x108780f10>,0.929395316,<KNN.KNN object at 0x108780f10>,0.920424094,KNN,15,uniform,brute
56,<KNN.KNN object at 0x1090211d0>,0.929395316,<KNN.KNN object at 0x1090211d0>,0.920424094,KNN,20,uniform,auto
57,<KNN.KNN object at 0x109021250>,0.929395316,<KNN.KNN object at 0x109021250>,0.920424094,KNN,20,uniform,ball_tree
58,<KNN.KNN object at 0x1090212d0>,0.929395316,<KNN.KNN object at 0x1090212d0>,0.920424094,KNN,20,uniform,kd_tree
59,<KNN.KNN object at 0x109021350>,0.929395316,<KNN.KNN object at 0x109021350>,0.920424094,KNN,20,uniform,brute
64,<LogR.LogR object at 0x10875e6d0>,0.929395316,<LogR.LogR object at 0x10875e6d0>,0.920424094,LogR,newton-cg,1,
65,<LogR.LogR object at 0x1030a0610>,0.929395316,<LogR.LogR object at 0x1030a0610>,0.920424094,LogR,newton-cg,101,
