,0
0,"['ANN', 'adam', 'relu', 'constant', 700, 0.001, 0.0001, (100, 90, 80, 70)]"
1,"['ANN', 'adam', 'relu', 'constant', 1700, 0.001, 0.0001, (100, 90, 80, 70)]"
2,"['ANN', 'adam', 'relu', 'constant', 2700, 0.001, 0.0001, (100, 90, 80, 70)]"
3,"['ANN', 'adam', 'relu', 'constant', 3700, 0.001, 0.0001, (100, 90, 80, 70)]"
4,"['ANN', 'adam', 'relu', 'constant', 4700, 0.001, 0.0001, (100, 90, 80, 70)]"
5,"['ANN', 'adam', 'relu', 'constant', 5700, 0.001, 0.0001, (100, 90, 80, 70)]"
6,"['ANN', 'adam', 'relu', 'constant', 6700, 0.001, 0.0001, (100, 90, 80, 70)]"
7,"['ANN', 'adam', 'relu', 'constant', 7700, 0.001, 0.0001, (100, 90, 80, 70)]"
8,"['ANN', 'adam', 'relu', 'constant', 8700, 0.001, 0.0001, (100, 90, 80, 70)]"
9,"['ANN', 'adam', 'relu', 'constant', 9700, 0.001, 0.0001, (100, 90, 80, 70)]"
10,"['ANN', 'adam', 'relu', 'adaptive', 700, 0.001, 0.0001, (100, 90, 80, 70)]"
11,"['ANN', 'adam', 'relu', 'adaptive', 1700, 0.001, 0.0001, (100, 90, 80, 70)]"
12,"['ANN', 'adam', 'relu', 'adaptive', 2700, 0.001, 0.0001, (100, 90, 80, 70)]"
13,"['ANN', 'adam', 'relu', 'adaptive', 3700, 0.001, 0.0001, (100, 90, 80, 70)]"
14,"['ANN', 'adam', 'relu', 'adaptive', 4700, 0.001, 0.0001, (100, 90, 80, 70)]"
15,"['ANN', 'adam', 'relu', 'adaptive', 5700, 0.001, 0.0001, (100, 90, 80, 70)]"
16,"['ANN', 'adam', 'relu', 'adaptive', 6700, 0.001, 0.0001, (100, 90, 80, 70)]"
17,"['ANN', 'adam', 'relu', 'adaptive', 7700, 0.001, 0.0001, (100, 90, 80, 70)]"
18,"['ANN', 'adam', 'relu', 'adaptive', 8700, 0.001, 0.0001, (100, 90, 80, 70)]"
19,"['ANN', 'adam', 'relu', 'adaptive', 9700, 0.001, 0.0001, (100, 90, 80, 70)]"
20,"['Dtree', 'gini', 'best', 5]"
21,"['Dtree', 'gini', 'best', 10]"
22,"['Dtree', 'gini', 'best', 15]"
