,0,1,2
0,LogR,newton-cg,1
1,LogR,newton-cg,101
2,LogR,newton-cg,201
3,LogR,newton-cg,301
4,LogR,newton-cg,401
5,LogR,newton-cg,501
6,LogR,lbfgs,1
7,LogR,lbfgs,101
8,LogR,lbfgs,201
9,LogR,lbfgs,301
10,LogR,lbfgs,401
11,LogR,lbfgs,501
12,LogR,liblinear,1
13,LogR,liblinear,101
14,LogR,liblinear,201
15,LogR,liblinear,301
16,LogR,liblinear,401
17,LogR,liblinear,501
18,LogR,sag,1
19,LogR,sag,101
20,LogR,sag,201
21,LogR,sag,301
22,LogR,sag,401
23,LogR,sag,501
24,LogR,saga,1
25,LogR,saga,101
26,LogR,saga,201
27,LogR,saga,301
28,LogR,saga,401
29,LogR,saga,501
