,0
0,"['ANN', 'adam', 'relu', 'constant', 700, 0.001, 0.0001, (100, 90, 80, 70)]"
1,"['ANN', 'adam', 'relu', 'constant', 800, 0.001, 0.0001, (100, 90, 80, 70)]"
2,"['ANN', 'adam', 'relu', 'constant', 900, 0.001, 0.0001, (100, 90, 80, 70)]"
3,"['ANN', 'adam', 'relu', 'constant', 1000, 0.001, 0.0001, (100, 90, 80, 70)]"
4,"['ANN', 'adam', 'relu', 'constant', 1100, 0.001, 0.0001, (100, 90, 80, 70)]"
5,"['ANN', 'adam', 'relu', 'constant', 1200, 0.001, 0.0001, (100, 90, 80, 70)]"
6,"['ANN', 'adam', 'relu', 'constant', 1300, 0.001, 0.0001, (100, 90, 80, 70)]"
7,"['ANN', 'adam', 'relu', 'constant', 1400, 0.001, 0.0001, (100, 90, 80, 70)]"
8,"['ANN', 'adam', 'relu', 'constant', 1500, 0.001, 0.0001, (100, 90, 80, 70)]"
9,"['ANN', 'adam', 'relu', 'constant', 1600, 0.001, 0.0001, (100, 90, 80, 70)]"
10,"['ANN', 'adam', 'relu', 'constant', 1700, 0.001, 0.0001, (100, 90, 80, 70)]"
11,"['ANN', 'adam', 'relu', 'constant', 1800, 0.001, 0.0001, (100, 90, 80, 70)]"
12,"['ANN', 'adam', 'relu', 'constant', 1900, 0.001, 0.0001, (100, 90, 80, 70)]"
13,"['ANN', 'adam', 'relu', 'constant', 2000, 0.001, 0.0001, (100, 90, 80, 70)]"
14,"['ANN', 'adam', 'relu', 'constant', 2100, 0.001, 0.0001, (100, 90, 80, 70)]"
15,"['ANN', 'adam', 'relu', 'constant', 2200, 0.001, 0.0001, (100, 90, 80, 70)]"
16,"['ANN', 'adam', 'relu', 'constant', 2300, 0.001, 0.0001, (100, 90, 80, 70)]"
17,"['ANN', 'adam', 'relu', 'constant', 2400, 0.001, 0.0001, (100, 90, 80, 70)]"
18,"['ANN', 'adam', 'relu', 'constant', 2500, 0.001, 0.0001, (100, 90, 80, 70)]"
19,"['ANN', 'adam', 'relu', 'constant', 2600, 0.001, 0.0001, (100, 90, 80, 70)]"
20,"['ANN', 'adam', 'relu', 'constant', 2700, 0.001, 0.0001, (100, 90, 80, 70)]"
21,"['ANN', 'adam', 'relu', 'constant', 2800, 0.001, 0.0001, (100, 90, 80, 70)]"
22,"['ANN', 'adam', 'relu', 'constant', 2900, 0.001, 0.0001, (100, 90, 80, 70)]"
23,"['ANN', 'adam', 'relu', 'constant', 3000, 0.001, 0.0001, (100, 90, 80, 70)]"
24,"['ANN', 'adam', 'relu', 'constant', 3100, 0.001, 0.0001, (100, 90, 80, 70)]"
25,"['ANN', 'adam', 'relu', 'constant', 3200, 0.001, 0.0001, (100, 90, 80, 70)]"
26,"['ANN', 'adam', 'relu', 'constant', 3300, 0.001, 0.0001, (100, 90, 80, 70)]"
27,"['ANN', 'adam', 'relu', 'constant', 3400, 0.001, 0.0001, (100, 90, 80, 70)]"
28,"['ANN', 'adam', 'relu', 'constant', 3500, 0.001, 0.0001, (100, 90, 80, 70)]"
29,"['ANN', 'adam', 'relu', 'constant', 3600, 0.001, 0.0001, (100, 90, 80, 70)]"
30,"['ANN', 'adam', 'relu', 'constant', 3700, 0.001, 0.0001, (100, 90, 80, 70)]"
31,"['ANN', 'adam', 'relu', 'constant', 3800, 0.001, 0.0001, (100, 90, 80, 70)]"
32,"['ANN', 'adam', 'relu', 'constant', 3900, 0.001, 0.0001, (100, 90, 80, 70)]"
33,"['ANN', 'adam', 'relu', 'constant', 4000, 0.001, 0.0001, (100, 90, 80, 70)]"
34,"['ANN', 'adam', 'relu', 'constant', 4100, 0.001, 0.0001, (100, 90, 80, 70)]"
35,"['ANN', 'adam', 'relu', 'constant', 4200, 0.001, 0.0001, (100, 90, 80, 70)]"
36,"['ANN', 'adam', 'relu', 'constant', 4300, 0.001, 0.0001, (100, 90, 80, 70)]"
37,"['ANN', 'adam', 'relu', 'constant', 4400, 0.001, 0.0001, (100, 90, 80, 70)]"
38,"['ANN', 'adam', 'relu', 'constant', 4500, 0.001, 0.0001, (100, 90, 80, 70)]"
39,"['ANN', 'adam', 'relu', 'constant', 4600, 0.001, 0.0001, (100, 90, 80, 70)]"
40,"['ANN', 'adam', 'relu', 'constant', 4700, 0.001, 0.0001, (100, 90, 80, 70)]"
41,"['ANN', 'adam', 'relu', 'constant', 4800, 0.001, 0.0001, (100, 90, 80, 70)]"
42,"['ANN', 'adam', 'relu', 'constant', 4900, 0.001, 0.0001, (100, 90, 80, 70)]"
43,"['ANN', 'adam', 'relu', 'constant', 5000, 0.001, 0.0001, (100, 90, 80, 70)]"
44,"['ANN', 'adam', 'relu', 'constant', 5100, 0.001, 0.0001, (100, 90, 80, 70)]"
45,"['ANN', 'adam', 'relu', 'constant', 5200, 0.001, 0.0001, (100, 90, 80, 70)]"
46,"['ANN', 'adam', 'relu', 'constant', 5300, 0.001, 0.0001, (100, 90, 80, 70)]"
47,"['ANN', 'adam', 'relu', 'constant', 5400, 0.001, 0.0001, (100, 90, 80, 70)]"
48,"['ANN', 'adam', 'relu', 'constant', 5500, 0.001, 0.0001, (100, 90, 80, 70)]"
49,"['ANN', 'adam', 'relu', 'constant', 5600, 0.001, 0.0001, (100, 90, 80, 70)]"
50,"['ANN', 'adam', 'relu', 'constant', 5700, 0.001, 0.0001, (100, 90, 80, 70)]"
51,"['ANN', 'adam', 'relu', 'constant', 5800, 0.001, 0.0001, (100, 90, 80, 70)]"
52,"['ANN', 'adam', 'relu', 'constant', 5900, 0.001, 0.0001, (100, 90, 80, 70)]"
53,"['ANN', 'adam', 'relu', 'constant', 6000, 0.001, 0.0001, (100, 90, 80, 70)]"
54,"['ANN', 'adam', 'relu', 'constant', 6100, 0.001, 0.0001, (100, 90, 80, 70)]"
55,"['ANN', 'adam', 'relu', 'constant', 6200, 0.001, 0.0001, (100, 90, 80, 70)]"
56,"['ANN', 'adam', 'relu', 'constant', 6300, 0.001, 0.0001, (100, 90, 80, 70)]"
57,"['ANN', 'adam', 'relu', 'constant', 6400, 0.001, 0.0001, (100, 90, 80, 70)]"
58,"['ANN', 'adam', 'relu', 'constant', 6500, 0.001, 0.0001, (100, 90, 80, 70)]"
59,"['ANN', 'adam', 'relu', 'constant', 6600, 0.001, 0.0001, (100, 90, 80, 70)]"
60,"['ANN', 'adam', 'relu', 'constant', 6700, 0.001, 0.0001, (100, 90, 80, 70)]"
61,"['ANN', 'adam', 'relu', 'constant', 6800, 0.001, 0.0001, (100, 90, 80, 70)]"
62,"['ANN', 'adam', 'relu', 'constant', 6900, 0.001, 0.0001, (100, 90, 80, 70)]"
