id,race,sex,age,charge_id,juv_fel_count_norm,juv_misd_count_norm,priors_count_norm,charge_degree (misd/fel),compas_decile_score_norm,two_year_recid,compas_guess,compas_correct,Actual_answer
1,6,0,69,16,0,0,0,1,0.1,0,0,1,0
3,2,0,34,170,0,0,0,1,0.3,1,0,0,1
4,2,0,24,306,0,0,0.32,1,0.4,1,0,0,1
5,2,0,23,303,0,1,0.08,1,0.8,0,1,0,0
6,6,0,43,28,0,0,0.16,1,0.1,0,0,1,0
7,6,0,44,45,0,0,0,0,0.1,0,0,1,0
8,1,0,41,292,0,0,1,1,0.6,1,1,1,1
9,6,0,43,28,0,0,0.24,1,0.4,0,0,1,0
10,1,1,39,45,0,0,0,0,0.1,0,0,1,0
13,1,0,21,198,0,0,0.08,1,0.3,1,0,0,1
14,1,0,27,248,0,0,0,1,0.4,0,0,1,0
15,2,0,23,45,0,0,0.24,0,0.6,1,1,1,1
16,1,1,37,45,0,0,0,0,0.1,0,0,1,0
18,2,0,41,280,0,0,0,1,0.4,0,0,1,0
19,1,1,47,28,0,0,0.08,1,0.1,1,0,0,1
20,2,0,31,172,0,0,0.56,1,0.3,1,0,0,1
21,3,0,37,45,0,0,0,0,0.1,0,0,1,0
22,2,0,25,190,0,0,0.24,1,1,0,1,0,0
23,1,0,31,129,0,0,0.48,1,0.5,1,1,1,1
24,1,0,31,311,0,0,0.4,1,0.3,1,0,0,1
25,2,0,64,28,0,0,1,1,0.6,1,1,1,1
26,2,0,21,49,0,0,0.08,1,0.9,1,1,1,1
27,1,0,27,317,0,0,0,0,0.2,1,0,0,1
28,1,1,21,202,0,0,0,1,0.4,0,0,1,0
30,3,0,24,212,0,0,0.08,1,0.4,1,0,0,1
32,1,0,43,374,0,0,0.08,0,0.1,0,0,1,0
33,6,0,32,45,0,0,0,0,0.3,0,0,1,0
37,2,0,27,71,0,0,0.64,1,0.3,1,0,0,1
38,1,1,36,28,0,0,0.24,1,0.3,0,0,1,0
39,2,0,26,246,0,0,0.4,1,0.7,1,1,1,1
40,2,0,33,379,0,0,0,1,1,1,1,1,1
41,1,0,30,170,0,0,0.72,1,0.9,1,1,1,1
42,2,0,32,36,0,0,0.32,1,0.8,1,1,1,1
45,1,0,55,28,0,0,0,1,0.1,0,0,1,0
50,6,0,49,7,0,0,0.56,1,0.3,1,0,0,1
51,1,0,26,239,0,0,0.48,0,0.8,0,1,0,0
52,1,1,33,45,0,0,0.32,0,0.5,1,1,1,1
53,1,0,24,45,0,0,0.08,0,0.2,1,0,0,1
54,2,0,34,275,1,1,1,1,0.9,1,1,1,1
55,1,0,29,283,0,0,0,0,0.2,0,0,1,0
56,2,1,21,28,0,0,0.16,1,0.8,0,1,0,0
57,2,0,51,410,0,0,0.16,0,0.1,0,0,1,0
59,1,0,29,423,0,0,0.16,0,0.2,1,0,0,1
61,2,1,51,306,0,0,0.56,1,0.2,0,0,1,0
64,2,0,29,102,0,0,0,1,0.7,1,1,1,1
66,1,0,25,45,0,0,0.72,0,1,1,1,1,1
67,2,0,35,418,1,0,1,1,0.8,1,1,1,1
68,1,0,49,133,0,0,0,0,0.1,0,0,1,0
69,2,0,34,127,0,0,0.32,0,0.3,1,0,0,1
70,2,0,29,379,0,0,0,1,0.4,0,0,1,0
71,1,0,29,319,0,0,0.08,1,0.2,1,0,0,1
72,6,1,28,190,0,0,0,1,0.2,0,0,1,0
75,1,0,48,28,0,0,1,1,0.6,1,1,1,1
77,3,1,63,28,0,0,0.08,1,0.1,0,0,1,0
79,2,0,31,37,0,0,1,1,0.5,0,1,0,0
80,2,0,24,271,0,0,0.16,1,0.4,1,0,0,1
83,3,0,30,283,0,0,0,0,0.7,0,1,0,0
84,2,0,49,45,0,0,0.32,0,0.1,0,0,1,0
85,1,0,53,28,0,0,0.64,1,0.5,0,1,0,0
87,2,0,35,129,0,0,0.4,1,0.3,0,0,1,0
88,2,0,63,286,0,0,0.8,0,0.7,1,1,1,1
90,2,0,27,129,1,1,1,1,1,1,1,1,1
91,1,0,38,45,0,0,0.32,0,0.2,1,0,0,1
93,2,0,22,257,0,0,0.08,1,0.4,1,0,0,1
95,2,0,22,352,0,1,0.16,1,1,1,1,1,1
96,2,0,29,28,0,0,0.32,1,0.9,1,1,1,1
97,3,0,62,409,0,0,0,0,0.1,0,0,1,0
98,2,0,27,21,0,1,0.48,1,0.6,1,1,1,1
99,6,0,33,45,0,0,0,0,0.1,0,0,1,0
100,2,1,56,45,0,0,0,0,0.1,0,0,1,0
101,3,0,45,306,0,0,0.48,1,0.1,1,0,0,1
102,3,0,22,64,0,0,0.08,1,0.4,0,0,1,0
105,2,0,39,28,0,0,0.08,0,0.4,0,0,1,0
107,2,0,29,162,0,0,0.4,1,0.6,1,1,1,1
108,1,0,27,28,0,0,0.08,1,0.6,1,1,1,1
111,2,0,40,28,0,0,0.16,1,0.2,0,0,1,0
113,2,0,22,45,0,0,0.08,0,0.3,1,0,0,1
114,1,0,22,190,0,0,0,1,0.8,0,1,0,0
115,2,1,26,252,0,0,0.08,1,0.4,1,0,0,1
116,1,0,27,60,0,0,0.08,1,0.7,1,1,1,1
119,2,0,32,169,0,0,0,1,0.2,0,0,1,0
120,2,0,41,28,0,0,0.08,0,0.2,0,0,1,0
122,2,0,30,283,0,0,0.64,0,1,1,1,1,1
127,6,0,50,28,0,0,0,1,0.1,1,0,0,1
128,2,0,25,28,1,1,1,1,1,1,1,1,1
130,6,0,20,379,0,0,0,1,0.5,1,1,1,1
131,2,0,22,40,1,0,0.16,1,0.9,1,1,1,1
132,2,0,23,28,0,0,0.16,0,0.7,1,1,1,1
136,2,1,35,28,0,0,0.08,0,0.2,0,0,1,0
137,2,0,36,112,0,0,0.72,1,0.7,1,1,1,1
138,1,0,26,292,0,0,0.56,1,0.8,1,1,1,1
139,6,0,21,190,0,0,0.08,1,0.6,1,1,1,1
142,1,0,25,246,0,0,0.72,1,0.8,1,1,1,1
143,2,0,71,283,0,0,0.96,0,0.7,0,1,0,0
145,1,1,20,280,0,0,0,1,0.7,0,1,0,0
146,1,0,39,297,0,0,0.16,1,0.1,1,0,0,1
147,1,0,66,178,0,0,0.24,1,0.1,0,0,1,0
148,1,1,54,133,0,0,0,0,0.1,0,0,1,0
150,3,1,44,45,0,0,0,0,0.1,0,0,1,0
151,2,0,19,45,0,0,0.08,0,0.4,1,0,0,1
152,2,0,24,28,0,0,0.08,1,0.2,0,0,1,0
153,2,0,30,152,0,0,0.08,1,0.2,0,0,1,0
154,1,1,39,15,0,0,0,1,0.1,1,0,0,1
156,1,0,24,163,0,1,0.64,1,0.6,1,1,1,1
157,1,0,30,317,0,0,0,1,0.4,0,0,1,0
158,1,0,31,45,0,0,0,0,0.5,0,1,0,0
159,1,1,39,318,0,0,0.08,1,0.4,0,0,1,0
160,2,0,59,28,0,0,1,1,0.9,1,1,1,1
163,1,0,43,306,0,0,0.08,1,0.1,0,0,1,0
166,2,0,21,190,0,0,0.24,1,0.9,1,1,1,1
169,1,0,38,283,0,0,0.4,0,0.4,1,0,0,1
171,1,0,34,16,0,0,0,1,0.5,0,1,0,0
173,2,0,33,253,0,0,0.4,1,0.5,1,1,1,1
174,2,0,37,280,0,0,0.24,1,0.2,0,0,1,0
175,1,0,42,13,0,0,0.08,1,0.2,1,0,0,1
176,2,0,41,306,0,1,0.8,1,0.9,1,1,1,1
177,2,0,22,418,0,0,0,1,0.4,1,0,0,1
178,2,0,33,129,0,1,1,1,0.8,1,1,1,1
180,2,0,31,45,0,0,0.08,0,0.7,0,1,0,0
182,6,1,30,89,0,0,0.08,1,0.2,0,0,1,0
183,1,0,31,28,0,0,1,1,1,1,1,1,1
184,2,0,27,306,0,0,0.24,1,0.9,1,1,1,1
187,2,0,56,28,0,0,0.64,1,0.9,0,1,0,0
189,1,0,52,45,0,0,0.24,0,0.9,0,1,0,0
190,2,0,33,28,0,0,1,1,1,1,1,1,1
192,1,1,64,337,0,0,0.16,0,0.1,0,0,1,0
193,1,0,22,297,0,0,0.32,1,0.6,1,1,1,1
194,1,0,42,297,0,0,0.48,1,0.3,0,0,1,0
195,1,1,25,28,0,0,0.16,1,0.4,0,0,1,0
197,1,0,30,7,0,0,0.08,0,0.2,0,0,1,0
199,1,0,28,28,0,0,0.16,1,0.1,0,0,1,0
200,6,1,37,242,0,0,0.16,0,0.2,0,0,1,0
202,1,0,28,123,0,0,0,0,0.2,1,0,0,1
203,2,1,24,45,0,0,0,0,0.2,0,0,1,0
206,1,1,29,190,0,1,0.8,1,0.4,1,0,0,1
208,1,0,44,45,0,0,0.16,0,0.2,1,0,0,1
209,3,1,30,49,0,0,0.32,1,0.5,1,1,1,1
210,2,0,32,306,0,0,0.24,1,0.7,1,1,1,1
213,1,0,31,337,0,0,0.16,0,0.3,1,0,0,1
215,2,0,31,215,0,0,0.08,0,0.2,0,0,1,0
