,0,1,2,3,4,5,6,7,8,9,10,11
0,<ANN.ANN object at 0x115C3DF0>,0.9126179657462425,<ANN.ANN object at 0x115C3DF0>,0.9396481416754049,ANN,adam,relu,constant,700,0.001,0.0001,"(100, 90)"
1,<ANN.ANN object at 0x0132AAB0>,0.8979377839916113,<ANN.ANN object at 0x0132AAB0>,0.9466387044157054,ANN,adam,relu,constant,700,0.001,0.0001,"(100, 90, 80, 70)"
2,<ANN.ANN object at 0x115C3E70>,0.9105207969241524,<ANN.ANN object at 0x115C3E70>,0.9387160666433648,ANN,adam,relu,constant,700,0.001,0.0009,"(100, 90)"
3,<ANN.ANN object at 0x115C3ED0>,0.9080740999650472,<ANN.ANN object at 0x115C3ED0>,0.9461726668996854,ANN,adam,relu,constant,700,0.001,0.0009,"(100, 90, 80, 70)"
4,<ANN.ANN object at 0x115C3F70>,0.9105207969241524,<ANN.ANN object at 0x115C3F70>,0.9423278573925201,ANN,adam,relu,constant,700,0.001,1e-05,"(100, 90)"
5,<ANN.ANN object at 0x11631030>,0.9112198531981824,<ANN.ANN object at 0x11631030>,0.9467552137947105,ANN,adam,relu,constant,700,0.001,1e-05,"(100, 90, 80, 70)"
6,<ANN.ANN object at 0x11631070>,0.9080740999650472,<ANN.ANN object at 0x11631070>,0.9426773855295352,ANN,adam,relu,constant,700,0.01,0.0001,"(100, 90)"
7,<ANN.ANN object at 0x11631110>,0.9066759874169871,<ANN.ANN object at 0x11631110>,0.9430269136665501,ANN,adam,relu,constant,700,0.01,0.0001,"(100, 90, 80, 70)"
8,<ANN.ANN object at 0x11631050>,0.9038797623208669,<ANN.ANN object at 0x11631050>,0.9448910637306304,ANN,adam,relu,constant,700,0.01,0.0009,"(100, 90)"
9,<ANN.ANN object at 0x11631210>,0.9045788185948969,<ANN.ANN object at 0x11631210>,0.9446580449726203,ANN,adam,relu,constant,700,0.01,0.0009,"(100, 90, 80, 70)"
10,<ANN.ANN object at 0x11631190>,0.905976931142957,<ANN.ANN object at 0x11631190>,0.9443085168356052,ANN,adam,relu,constant,700,0.01,1e-05,"(100, 90)"
11,<ANN.ANN object at 0x11631310>,0.9021321216357917,<ANN.ANN object at 0x11631310>,0.941512291739485,ANN,adam,relu,constant,700,0.01,1e-05,"(100, 90, 80, 70)"
12,<ANN.ANN object at 0x11631390>,0.917511359664453,<ANN.ANN object at 0x11631390>,0.9253174880577887,ANN,adam,relu,constant,700,0.0001,0.0001,"(100, 90)"
13,<ANN.ANN object at 0x11631410>,0.905627403005942,<ANN.ANN object at 0x11631410>,0.9382500291273448,ANN,adam,relu,constant,700,0.0001,0.0001,"(100, 90, 80, 70)"
14,<ANN.ANN object at 0x115C3C30>,0.9171618315274379,<ANN.ANN object at 0x115C3C30>,0.929861353838984,ANN,adam,relu,constant,700,0.0001,0.0009,"(100, 90)"
15,<ANN.ANN object at 0x115C3C50>,0.9105207969241524,<ANN.ANN object at 0x115C3C50>,0.9389490854013748,ANN,adam,relu,constant,700,0.0001,0.0009,"(100, 90, 80, 70)"
16,<ANN.ANN object at 0x115C3730>,0.9182104159384831,<ANN.ANN object at 0x115C3730>,0.9274146568798788,ANN,adam,relu,constant,700,0.0001,1e-05,"(100, 90)"
17,<ANN.ANN object at 0x115C3C10>,0.9094722125131073,<ANN.ANN object at 0x115C3C10>,0.94116276360247,ANN,adam,relu,constant,700,0.0001,1e-05,"(100, 90, 80, 70)"
18,<ANN.ANN object at 0x115C3AD0>,0.9098217406501223,<ANN.ANN object at 0x115C3AD0>,0.9419783292555051,ANN,adam,relu,constant,1700,0.001,0.0001,"(100, 90)"
19,<ANN.ANN object at 0x115C36D0>,0.9031807060468368,<ANN.ANN object at 0x115C36D0>,0.9462891762786905,ANN,adam,relu,constant,1700,0.001,0.0001,"(100, 90, 80, 70)"
20,<ANN.ANN object at 0x115C38F0>,0.9070255155540021,<ANN.ANN object at 0x115C38F0>,0.9418618198765001,ANN,adam,relu,constant,1700,0.001,0.0009,"(100, 90)"
21,<ANN.ANN object at 0x115C3830>,0.9077245718280321,<ANN.ANN object at 0x115C3830>,0.9461726668996854,ANN,adam,relu,constant,1700,0.001,0.0009,"(100, 90, 80, 70)"
22,<ANN.ANN object at 0x116314D0>,0.9077245718280321,<ANN.ANN object at 0x116314D0>,0.9431434230455552,ANN,adam,relu,constant,1700,0.001,1e-05,"(100, 90)"
23,<ANN.ANN object at 0x11631550>,0.8916462775253408,<ANN.ANN object at 0x11631550>,0.9436094605615752,ANN,adam,relu,constant,1700,0.001,1e-05,"(100, 90, 80, 70)"
24,<ANN.ANN object at 0x11631490>,0.9000349528137015,<ANN.ANN object at 0x11631490>,0.9461726668996854,ANN,adam,relu,constant,1700,0.01,0.0001,"(100, 90)"
25,<ANN.ANN object at 0x116315D0>,0.9108703250611674,<ANN.ANN object at 0x116315D0>,0.9403471979494349,ANN,adam,relu,constant,1700,0.01,0.0001,"(100, 90, 80, 70)"
26,<ANN.ANN object at 0x11631650>,0.9049283467319119,<ANN.ANN object at 0x11631650>,0.9426773855295352,ANN,adam,relu,constant,1700,0.01,0.0009,"(100, 90)"
27,<ANN.ANN object at 0x11631750>,0.9070255155540021,<ANN.ANN object at 0x11631750>,0.9398811604334149,ANN,adam,relu,constant,1700,0.01,0.0009,"(100, 90, 80, 70)"
28,<ANN.ANN object at 0x116317D0>,0.8989863684026564,<ANN.ANN object at 0x116317D0>,0.9437259699405802,ANN,adam,relu,constant,1700,0.01,1e-05,"(100, 90)"
