,0,1,2,3,4,5,6,7
0,<Dtree.Dtree object at 0x10875e710>,0.9286962600489339,<Dtree.Dtree object at 0x10875e710>,0.9208901316555983,Dtree,gini,best,5
1,<Dtree.Dtree object at 0x1006bd810>,0.9224047535826634,<Dtree.Dtree object at 0x1006bd810>,0.928812769427939,Dtree,gini,best,10
2,<Dtree.Dtree object at 0x10875e810>,0.9119189094722125,<Dtree.Dtree object at 0x10875e810>,0.94162880111849,Dtree,gini,best,15
3,<Dtree.Dtree object at 0x10875e890>,0.905976931142957,<Dtree.Dtree object at 0x10875e890>,0.9452405918676453,Dtree,gini,best,20
4,<Dtree.Dtree object at 0x10875e910>,0.905976931142957,<Dtree.Dtree object at 0x10875e910>,0.9455901200046604,Dtree,gini,best,25
5,<Dtree.Dtree object at 0x10875e990>,0.905976931142957,<Dtree.Dtree object at 0x10875e990>,0.9455901200046604,Dtree,gini,best,30
6,<Dtree.Dtree object at 0x10875ea10>,0.905976931142957,<Dtree.Dtree object at 0x10875ea10>,0.9455901200046604,Dtree,gini,best,35
7,<Dtree.Dtree object at 0x10875ea90>,0.905976931142957,<Dtree.Dtree object at 0x10875ea90>,0.9455901200046604,Dtree,gini,best,40
8,<Dtree.Dtree object at 0x10875eb10>,0.9286962600489339,<Dtree.Dtree object at 0x10875eb10>,0.9208901316555983,Dtree,gini,random,5
9,<Dtree.Dtree object at 0x10875eb90>,0.9227542817196784,<Dtree.Dtree object at 0x10875eb90>,0.928929278806944,Dtree,gini,random,10
10,<Dtree.Dtree object at 0x10875ec10>,0.9087731562390773,<Dtree.Dtree object at 0x10875ec10>,0.94162880111849,Dtree,gini,random,15
11,<Dtree.Dtree object at 0x10875ec90>,0.905277874868927,<Dtree.Dtree object at 0x10875ec90>,0.9452405918676453,Dtree,gini,random,20
12,<Dtree.Dtree object at 0x10875ed10>,0.905976931142957,<Dtree.Dtree object at 0x10875ed10>,0.9455901200046604,Dtree,gini,random,25
13,<Dtree.Dtree object at 0x10875ed90>,0.905976931142957,<Dtree.Dtree object at 0x10875ed90>,0.9455901200046604,Dtree,gini,random,30
14,<Dtree.Dtree object at 0x10875ee10>,0.905976931142957,<Dtree.Dtree object at 0x10875ee10>,0.9455901200046604,Dtree,gini,random,35
15,<Dtree.Dtree object at 0x10875ee90>,0.905976931142957,<Dtree.Dtree object at 0x10875ee90>,0.9455901200046604,Dtree,gini,random,40
16,<Dtree.Dtree object at 0x10875ef10>,0.9286962600489339,<Dtree.Dtree object at 0x10875ef10>,0.9207736222765933,Dtree,entropy,best,5
17,<Dtree.Dtree object at 0x10875ef90>,0.9206571128975882,<Dtree.Dtree object at 0x10875ef90>,0.9277641850168938,Dtree,entropy,best,10
18,<Dtree.Dtree object at 0x108780050>,0.9094722125131073,<Dtree.Dtree object at 0x108780050>,0.94092974484446,Dtree,entropy,best,15
19,<Dtree.Dtree object at 0x1087800d0>,0.9080740999650472,<Dtree.Dtree object at 0x1087800d0>,0.9451240824886403,Dtree,entropy,best,20
20,<Dtree.Dtree object at 0x108780150>,0.9073750436910172,<Dtree.Dtree object at 0x108780150>,0.9455901200046604,Dtree,entropy,best,25
21,<Dtree.Dtree object at 0x1087801d0>,0.905976931142957,<Dtree.Dtree object at 0x1087801d0>,0.9455901200046604,Dtree,entropy,best,30
22,<Dtree.Dtree object at 0x108780250>,0.905976931142957,<Dtree.Dtree object at 0x108780250>,0.9455901200046604,Dtree,entropy,best,35
23,<Dtree.Dtree object at 0x1087802d0>,0.905976931142957,<Dtree.Dtree object at 0x1087802d0>,0.9455901200046604,Dtree,entropy,best,40
24,<Dtree.Dtree object at 0x108780350>,0.9286962600489339,<Dtree.Dtree object at 0x108780350>,0.9207736222765933,Dtree,entropy,random,5
25,<Dtree.Dtree object at 0x1087803d0>,0.9203075847605732,<Dtree.Dtree object at 0x1087803d0>,0.9278806943958988,Dtree,entropy,random,10
26,<Dtree.Dtree object at 0x108780450>,0.9108703250611674,<Dtree.Dtree object at 0x108780450>,0.9406967260864499,Dtree,entropy,random,15
27,<Dtree.Dtree object at 0x1087804d0>,0.9045788185948969,<Dtree.Dtree object at 0x1087804d0>,0.9451240824886403,Dtree,entropy,random,20
28,<Dtree.Dtree object at 0x108780550>,0.905277874868927,<Dtree.Dtree object at 0x108780550>,0.9455901200046604,Dtree,entropy,random,25
29,<Dtree.Dtree object at 0x1087805d0>,0.9045788185948969,<Dtree.Dtree object at 0x1087805d0>,0.9455901200046604,Dtree,entropy,random,30
30,<Dtree.Dtree object at 0x108780650>,0.9045788185948969,<Dtree.Dtree object at 0x108780650>,0.9455901200046604,Dtree,entropy,random,35
31,<Dtree.Dtree object at 0x1087806d0>,0.9045788185948969,<Dtree.Dtree object at 0x1087806d0>,0.9455901200046604,Dtree,entropy,random,40
32,<KNN.KNN object at 0x108780750>,0.9245019224047536,<KNN.KNN object at 0x108780750>,0.9214726785506233,KNN,5,uniform,auto
33,<KNN.KNN object at 0x1087807d0>,0.9248514505417686,<KNN.KNN object at 0x1087807d0>,0.9219387160666433,KNN,5,uniform,ball_tree
34,<KNN.KNN object at 0x108780850>,0.9245019224047536,<KNN.KNN object at 0x108780850>,0.9214726785506233,KNN,5,uniform,kd_tree
35,<KNN.KNN object at 0x1087808d0>,0.9283467319119189,<KNN.KNN object at 0x1087808d0>,0.9225212629616684,KNN,5,uniform,brute
36,<KNN.KNN object at 0x10875e5d0>,0.9196085284865432,<KNN.KNN object at 0x10875e5d0>,0.9454736106256554,KNN,5,distance,auto
37,<KNN.KNN object at 0x10875e550>,0.9203075847605732,<KNN.KNN object at 0x10875e550>,0.9454736106256554,KNN,5,distance,ball_tree
38,<KNN.KNN object at 0x10875e3d0>,0.9196085284865432,<KNN.KNN object at 0x10875e3d0>,0.9454736106256554,KNN,5,distance,kd_tree
39,<KNN.KNN object at 0x10875e350>,0.9227542817196784,<KNN.KNN object at 0x10875e350>,0.9454736106256554,KNN,5,distance,brute
40,<KNN.KNN object at 0x108780990>,0.929395316322964,<KNN.KNN object at 0x108780990>,0.9204240941395783,KNN,10,uniform,auto
41,<KNN.KNN object at 0x108780a10>,0.929395316322964,<KNN.KNN object at 0x108780a10>,0.9204240941395783,KNN,10,uniform,ball_tree
42,<KNN.KNN object at 0x108780a90>,0.929395316322964,<KNN.KNN object at 0x108780a90>,0.9204240941395783,KNN,10,uniform,kd_tree
43,<KNN.KNN object at 0x108780b10>,0.929045788185949,<KNN.KNN object at 0x108780b10>,0.9204240941395783,KNN,10,uniform,brute
44,<KNN.KNN object at 0x108780b90>,0.9231038098566935,<KNN.KNN object at 0x108780b90>,0.9455901200046604,KNN,10,distance,auto
45,<KNN.KNN object at 0x108780c10>,0.9231038098566935,<KNN.KNN object at 0x108780c10>,0.9455901200046604,KNN,10,distance,ball_tree
46,<KNN.KNN object at 0x108780c90>,0.9231038098566935,<KNN.KNN object at 0x108780c90>,0.9455901200046604,KNN,10,distance,kd_tree
47,<KNN.KNN object at 0x108780d10>,0.9231038098566935,<KNN.KNN object at 0x108780d10>,0.9455901200046604,KNN,10,distance,brute
48,<KNN.KNN object at 0x108780d90>,0.929395316322964,<KNN.KNN object at 0x108780d90>,0.9204240941395783,KNN,15,uniform,auto
49,<KNN.KNN object at 0x108780e10>,0.929395316322964,<KNN.KNN object at 0x108780e10>,0.9204240941395783,KNN,15,uniform,ball_tree
50,<KNN.KNN object at 0x108780e90>,0.929395316322964,<KNN.KNN object at 0x108780e90>,0.9204240941395783,KNN,15,uniform,kd_tree
51,<KNN.KNN object at 0x108780f10>,0.929395316322964,<KNN.KNN object at 0x108780f10>,0.9204240941395783,KNN,15,uniform,brute
52,<KNN.KNN object at 0x108780f90>,0.9234533379937085,<KNN.KNN object at 0x108780f90>,0.9455901200046604,KNN,15,distance,auto
53,<KNN.KNN object at 0x109021050>,0.9234533379937085,<KNN.KNN object at 0x109021050>,0.9455901200046604,KNN,15,distance,ball_tree
54,<KNN.KNN object at 0x1090210d0>,0.9234533379937085,<KNN.KNN object at 0x1090210d0>,0.9455901200046604,KNN,15,distance,kd_tree
55,<KNN.KNN object at 0x109021150>,0.9234533379937085,<KNN.KNN object at 0x109021150>,0.9455901200046604,KNN,15,distance,brute
56,<KNN.KNN object at 0x1090211d0>,0.929395316322964,<KNN.KNN object at 0x1090211d0>,0.9204240941395783,KNN,20,uniform,auto
57,<KNN.KNN object at 0x109021250>,0.929395316322964,<KNN.KNN object at 0x109021250>,0.9204240941395783,KNN,20,uniform,ball_tree
58,<KNN.KNN object at 0x1090212d0>,0.929395316322964,<KNN.KNN object at 0x1090212d0>,0.9204240941395783,KNN,20,uniform,kd_tree
